mipvu_id,case_id,document_id,sentence_id,lexical_unit,lemma,decision_type,review_status,contextual_meaning,basic_meaning,confidence,semantic_shift_risk,review_notes,source_path
lincoln-lyceum-address_s01_p04_s02_lu015,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,as,as,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu016,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,regards,regards,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu017,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,extent,extent,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu018,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu019,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,territory,territory,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu020,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,fertility,fertility,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu021,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu022,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,soil,soil,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu023,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,and,and,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu024,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,salubrity,salubrity,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu025,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu026,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,climate,climate,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu001,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,We,we,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu002,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,find,find,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu003,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,ourselves,ourselves,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu004,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,under,under,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu005,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu006,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,government,government,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu007,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu008,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,a,a,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu009,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,system,system,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu010,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu011,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,political,political,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s03_lu012,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s03,institutions,institutions,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
